CombinedKey,Prefix,Opcode,Mnemonic,Bytes,Cycles,Notes
0xCB00,CB,0x00,RLC B,2,8,
0xCB01,CB,0x01,RLC C,2,8,
0xCB02,CB,0x02,RLC D,2,8,
0xCB03,CB,0x03,RLC E,2,8,
0xCB04,CB,0x04,RLC H,2,8,
0xCB05,CB,0x05,RLC L,2,8,
0xCB06,CB,0x06,RLC (HL),2,15,
0xCB07,CB,0x07,RLC A,2,8,
0xCB08,CB,0x08,RRC B,2,8,
0xCB09,CB,0x09,RRC C,2,8,
0xCB0A,CB,0x0A,RRC D,2,8,
0xCB0B,CB,0x0B,RRC E,2,8,
0xCB0C,CB,0x0C,RRC H,2,8,
0xCB0D,CB,0x0D,RRC L,2,8,
0xCB0E,CB,0x0E,RRC (HL),2,15,
0xCB0F,CB,0x0F,RRC A,2,8,
0xCB10,CB,0x10,RL B,2,8,
0xCB11,CB,0x11,RL C,2,8,
0xCB12,CB,0x12,RL D,2,8,
0xCB13,CB,0x13,RL E,2,8,
0xCB14,CB,0x14,RL H,2,8,
0xCB15,CB,0x15,RL L,2,8,
0xCB16,CB,0x16,RL (HL),2,15,
0xCB17,CB,0x17,RL A,2,8,
0xCB18,CB,0x18,RR B,2,8,
0xCB19,CB,0x19,RR C,2,8,
0xCB1A,CB,0x1A,RR D,2,8,
0xCB1B,CB,0x1B,RR E,2,8,
0xCB1C,CB,0x1C,RR H,2,8,
0xCB1D,CB,0x1D,RR L,2,8,
0xCB1E,CB,0x1E,RR (HL),2,15,
0xCB1F,CB,0x1F,RR A,2,8,
0xCB20,CB,0x20,SLA B,2,8,
0xCB21,CB,0x21,SLA C,2,8,
0xCB22,CB,0x22,SLA D,2,8,
0xCB23,CB,0x23,SLA E,2,8,
0xCB24,CB,0x24,SLA H,2,8,
0xCB25,CB,0x25,SLA L,2,8,
0xCB26,CB,0x26,SLA (HL),2,15,
0xCB27,CB,0x27,SLA A,2,8,
0xCB28,CB,0x28,SRA B,2,8,
0xCB29,CB,0x29,SRA C,2,8,
0xCB2A,CB,0x2A,SRA D,2,8,
0xCB2B,CB,0x2B,SRA E,2,8,
0xCB2C,CB,0x2C,SRA H,2,8,
0xCB2D,CB,0x2D,SRA L,2,8,
0xCB2E,CB,0x2E,SRA (HL),2,15,
0xCB2F,CB,0x2F,SRA A,2,8,
0xCB30,CB,0x30,SLL B,2,8,Undocumented
0xCB31,CB,0x31,SLL C,2,8,Undocumented
0xCB32,CB,0x32,SLL D,2,8,Undocumented
0xCB33,CB,0x33,SLL E,2,8,Undocumented
0xCB34,CB,0x34,SLL H,2,8,Undocumented
0xCB35,CB,0x35,SLL L,2,8,Undocumented
0xCB36,CB,0x36,SLL (HL),2,15,Undocumented
0xCB37,CB,0x37,SLL A,2,8,Undocumented
0xCB38,CB,0x38,SRL B,2,8,
0xCB39,CB,0x39,SRL C,2,8,
0xCB3A,CB,0x3A,SRL D,2,8,
0xCB3B,CB,0x3B,SRL E,2,8,
0xCB3C,CB,0x3C,SRL H,2,8,
0xCB3D,CB,0x3D,SRL L,2,8,
0xCB3E,CB,0x3E,SRL (HL),2,15,
0xCB3F,CB,0x3F,SRL A,2,8,
0xCB40,CB,0x40,"BIT 0,B",2,8,
0xCB41,CB,0x41,"BIT 0,C",2,8,
0xCB42,CB,0x42,"BIT 0,D",2,8,
0xCB43,CB,0x43,"BIT 0,E",2,8,
0xCB44,CB,0x44,"BIT 0,H",2,8,
0xCB45,CB,0x45,"BIT 0,L",2,8,
0xCB46,CB,0x46,"BIT 0,(HL)",2,12,
0xCB47,CB,0x47,"BIT 0,A",2,8,
0xCB48,CB,0x48,"BIT 1,B",2,8,
0xCB49,CB,0x49,"BIT 1,C",2,8,
0xCB4A,CB,0x4A,"BIT 1,D",2,8,
0xCB4B,CB,0x4B,"BIT 1,E",2,8,
0xCB4C,CB,0x4C,"BIT 1,H",2,8,
0xCB4D,CB,0x4D,"BIT 1,L",2,8,
0xCB4E,CB,0x4E,"BIT 1,(HL)",2,12,
0xCB4F,CB,0x4F,"BIT 1,A",2,8,
0xCB50,CB,0x50,"BIT 2,B",2,8,
0xCB51,CB,0x51,"BIT 2,C",2,8,
0xCB52,CB,0x52,"BIT 2,D",2,8,
0xCB53,CB,0x53,"BIT 2,E",2,8,
0xCB54,CB,0x54,"BIT 2,H",2,8,
0xCB55,CB,0x55,"BIT 2,L",2,8,
0xCB56,CB,0x56,"BIT 2,(HL)",2,12,
